sampleId	popId	site	country	region	groupLabel	groupAge	flag	shapeA	colorA	latitude	longitude	callset	dataSource	age14C	ageHigh	ageLow	ageAverage	datingSource	coverage	sex	hgMT	gpAvg	ageRaw	clusterId	clusterIBDGlobal	clusterIBDFine	hgYMajor	hgYMinor	color	clusterAlias	shape
NA18873	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18874	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18876	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18877	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18878	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18879	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18881	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18907	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18908	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18909	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18910	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18912	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18915	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18916	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18917	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18923	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18924	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18933	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18934	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19092	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19093	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19095	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19096	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19098	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19099	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19102	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19107	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19108	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19113	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19114	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19116	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19117	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19118	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19119	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19121	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19129	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19130	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19131	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19137	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19138	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19141	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19143	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19144	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19146	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19147	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19149	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19152	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19153	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19159	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19160	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19171	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19172	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19175	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19184	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19185	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19189	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19190	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19197	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19198	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19200	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19201	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19204	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19206	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19207	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19209	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19210	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19213	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19214	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19222	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19223	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19225	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19235	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19236	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19238	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19239	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19247	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19248	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19256	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA19257	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
HG02922	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	ESN	NA	NA	yellow4	Africa_modern	1
HG02923	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	ESN	NA	NA	yellow4	Africa_modern	1
HG02938	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	ESN	NA	NA	yellow4	Africa_modern	1
HG02941	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	ESN	NA	NA	yellow4	Africa_modern	1
HG02943	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	ESN	NA	NA	yellow4	Africa_modern	1
